ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229826644,EUR,-103351.63,NULL,NULL
2,229826645,EUR,4657.77,NULL,NULL
2,229826646,EUR,234254.35,NULL,NULL
2,229826647,EUR,22730.96,NULL,NULL
2,229826648,EUR,10575.65,NULL,NULL
2,229826649,EUR,3803.01,NULL,NULL
2,229826650,EUR,3203.78,NULL,NULL
2,229826651,EUR,-139962.36,NULL,NULL
2,229826652,EUR,-3429099.22,NULL,NULL
2,229826653,EUR,-44135.48,NULL,NULL
2,229826654,EUR,4312228.72,NULL,NULL
2,229826655,EUR,142541.75,NULL,NULL
2,229826656,EUR,28934.82,NULL,NULL
2,229826657,EUR,-217711.8,NULL,NULL
2,229826658,EUR,39050.57,NULL,NULL
2,229826659,EUR,105681.05,NULL,NULL
2,229826660,EUR,18198.43,NULL,NULL
2,229826661,EUR,6527.96,NULL,NULL
2,229826662,EUR,30519,NULL,NULL
2,229826663,EUR,37506.45,NULL,NULL
2,229826664,EUR,38.34,NULL,NULL
2,229826665,EUR,-177740.6,NULL,NULL
2,229826666,EUR,0,NULL,NULL
2,229826667,EUR,686.21,NULL,NULL
2,229826668,EUR,168522.74,NULL,NULL
2,229826669,EUR,-3391827.97,NULL,NULL
2,229826670,EUR,-937559.56,NULL,NULL
2,229826671,EUR,575151.81,NULL,NULL
2,229826672,EUR,5308012.91,NULL,NULL
2,229826673,EUR,-264516.42,NULL,NULL
2,229826674,EUR,268409.87,NULL,NULL
2,229826675,EUR,248749.21,NULL,NULL
2,229826676,EUR,62839,NULL,NULL
2,229826677,EUR,108089.68,NULL,NULL
2,229826678,EUR,-121,NULL,NULL
2,229826679,EUR,146867.3,NULL,NULL
2,229826680,EUR,-803944.03,NULL,NULL
2,229826681,EUR,-1851.1,NULL,NULL
2,229826682,EUR,-20561500,NULL,NULL
2,229826683,EUR,-2279350.82,NULL,NULL
2,229826684,EUR,77702.18,NULL,NULL
2,229826685,EUR,14824.08,NULL,NULL
2,229826686,EUR,2291.44,NULL,NULL
2,229826687,EUR,245.95,NULL,NULL
2,229826688,EUR,-983.8,NULL,NULL
2,229826689,EUR,-656733.19,NULL,NULL
2,229826690,EUR,1504775,NULL,NULL
2,229826691,EUR,12,NULL,NULL
2,229826692,EUR,-25927.28,NULL,NULL
2,229826693,EUR,-1654873.71,NULL,NULL
2,229826694,EUR,413.16,NULL,NULL
2,229826695,EUR,40183.84,NULL,NULL
2,229826696,EUR,522.92,NULL,NULL
2,229826697,EUR,364970.99,NULL,NULL
2,229826698,EUR,-100000,NULL,NULL
2,229826699,EUR,-1075044.96,NULL,NULL
2,229826700,EUR,22294.4,NULL,NULL
2,229826701,EUR,-10386.76,NULL,NULL
2,229826702,EUR,1803.04,NULL,NULL
2,229826703,EUR,-3234.84,NULL,NULL
2,229826704,EUR,-38777.78,NULL,NULL
2,229826705,EUR,0,NULL,NULL
